Age,Occupation,Risk Tolerance,Investment Duration,Financial Goals,Investment Amount,Liquidity Needs,Investment Recommendation,Annual Income
62,Business Owner,Low,Short-term,Emergency Fund,50146,Low,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,714979
24,Teacher,Medium,Mid-term,Education,88173,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,338233
59,Engineer,Medium,Long-term,Retirement,187852,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,347581
37,Teacher,Low,Mid-term,Marriage,258765,Low,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,523564
60,IT Professional,High,Long-term,Retirement,102495,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,851367
54,Government Employee,Medium,Long-term,Retirement,500000,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,429352
49,Service Industry,Medium,Long-term,Wealth Building,500000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,838660
58,Teacher,Medium,Mid-term,Education,204269,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,1077455
59,Banker,High,Mid-term,Marriage,450514,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,583595
21,Artist,High,Long-term,Wealth Building,500000,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,438266
28,Engineer,Medium,Mid-term,Education,500000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,980702
61,Service Industry,Low,Long-term,Wealth Building,72803,High,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,828492
28,Freelancer,Low,Long-term,Retirement,335756,Medium,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,1101643
35,Doctor,Medium,Mid-term,Education,500000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,1006313
35,Self-Employed,High,Short-term,Emergency Fund,16770,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,899633
32,Teacher,Low,Mid-term,Education,192692,High,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,807515
18,Banker,Medium,Long-term,Wealth Building,500000,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,1177059
62,Engineer,Low,Mid-term,Marriage,500000,High,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,1267032
36,Retail Worker,Low,Mid-term,Education,268423,Low,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,1070448
57,Service Industry,Low,Long-term,Retirement,500000,High,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,686646
31,Consultant,Low,Mid-term,Marriage,327567,High,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,1005360
44,Student,High,Long-term,Wealth Building,80000,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,83554
34,Business Owner,Medium,Mid-term,Education,341693,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,925549
25,IT Professional,Low,Mid-term,Marriage,47290,Low,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,630237
48,Retail Worker,Medium,Mid-term,Education,143516,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,1091907
49,Teacher,Medium,Short-term,Emergency Fund,500000,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,755553
58,Business Owner,Medium,Long-term,Wealth Building,500000,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,925489
34,Lawyer,Medium,Mid-term,Education,500000,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,515956
37,Doctor,Low,Short-term,Emergency Fund,305241,Medium,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,1068364
22,Government Employee,Medium,Long-term,Retirement,500000,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,765368
64,Freelancer,High,Short-term,Emergency Fund,467952,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,577674
57,Engineer,Medium,Long-term,Retirement,29428,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,703836
48,Business Owner,Medium,Mid-term,Education,500000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,880930
63,Freelancer,Low,Short-term,Emergency Fund,500000,High,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,1143548
36,Doctor,High,Long-term,Retirement,443310,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,383715
23,Self-Employed,Low,Long-term,Retirement,500000,Medium,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,916798
49,IT Professional,Medium,Long-term,Wealth Building,500000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,901441
22,Self-Employed,Low,Mid-term,Education,489790,High,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,937837
31,Student,High,Long-term,Wealth Building,80000,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,83903
49,Freelancer,High,Long-term,Wealth Building,137840,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,742109
20,IT Professional,High,Mid-term,Marriage,500000,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,634773
41,Retail Worker,High,Mid-term,Education,272486,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,998703
28,Freelancer,High,Long-term,Retirement,500000,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,963304
47,Student,Medium,Mid-term,Education,80000,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,76671
49,Retail Worker,Low,Long-term,Wealth Building,500000,Medium,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,664497
27,Retail Worker,Medium,Mid-term,Education,452865,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,852229
59,Student,Medium,Mid-term,Education,80000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,50576
25,Government Employee,High,Mid-term,Marriage,500000,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,435011
41,Student,Low,Long-term,Retirement,80000,Low,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,63671
35,Banker,High,Mid-term,Education,500000,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,896492
41,Engineer,Medium,Mid-term,Education,124900,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,383172
38,Student,Low,Mid-term,Education,80000,Low,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,62851
53,Freelancer,High,Short-term,Emergency Fund,500000,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,1166769
54,Lawyer,Medium,Long-term,Wealth Building,500000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,591927
57,Government Employee,Medium,Long-term,Wealth Building,500000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,971052
52,Business Owner,High,Short-term,Emergency Fund,375957,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,452682
41,Consultant,Low,Long-term,Wealth Building,500000,High,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,563467
33,Self-Employed,Medium,Mid-term,Education,500000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,625037
61,Business Owner,Low,Mid-term,Marriage,500000,Low,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,333411
28,Teacher,Medium,Long-term,Wealth Building,500000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,951295
26,Lawyer,High,Mid-term,Marriage,303603,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,377601
64,Freelancer,Medium,Long-term,Wealth Building,500000,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,1069798
27,Self-Employed,Low,Long-term,Wealth Building,2259,Medium,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,463832
29,Self-Employed,High,Mid-term,Education,129685,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,466779
23,Service Industry,Medium,Short-term,Emergency Fund,500000,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,1217133
56,Banker,High,Short-term,Emergency Fund,72306,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,860032
27,Banker,Low,Mid-term,Marriage,140558,High,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,1006020
48,Student,Low,Long-term,Retirement,80000,High,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,82268
54,Lawyer,Low,Long-term,Retirement,500000,Low,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,604986
50,Doctor,Medium,Short-term,Emergency Fund,500000,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,808654
53,Self-Employed,Low,Long-term,Retirement,160654,Medium,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,841344
63,Business Owner,High,Long-term,Retirement,500000,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,423514
39,Teacher,Low,Mid-term,Marriage,104276,High,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,542850
59,Banker,High,Short-term,Emergency Fund,388638,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,379047
43,Doctor,Medium,Mid-term,Marriage,128881,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,1125109
55,Banker,Medium,Long-term,Wealth Building,178464,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,1245506
25,Consultant,Low,Mid-term,Marriage,26170,High,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,868465
43,Doctor,Medium,Mid-term,Marriage,213381,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,1244535
35,Freelancer,Low,Long-term,Wealth Building,211225,Low,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,405442
55,Retail Worker,Medium,Long-term,Retirement,500000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,1117018
34,Student,Medium,Long-term,Wealth Building,80000,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,94734
27,Consultant,High,Short-term,Emergency Fund,322463,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,1163643
63,Lawyer,Medium,Mid-term,Marriage,500000,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,458542
37,Service Industry,Medium,Mid-term,Education,257777,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,473100
45,Engineer,Low,Mid-term,Education,222343,High,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,1007787
20,Engineer,Medium,Mid-term,Education,500000,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,460349
30,Teacher,Medium,Long-term,Wealth Building,500000,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,1047783
29,Self-Employed,Medium,Mid-term,Marriage,500000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,979553
22,Lawyer,Medium,Long-term,Wealth Building,267044,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,1199543
29,Retail Worker,Medium,Mid-term,Marriage,500000,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,522254
42,Student,Medium,Short-term,Emergency Fund,80000,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,95894
59,Engineer,High,Mid-term,Education,333202,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,1195799
37,Banker,High,Long-term,Wealth Building,143074,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,1069206
22,Engineer,High,Mid-term,Marriage,500000,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,905259
23,Banker,Medium,Short-term,Emergency Fund,500000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,620579
35,Engineer,Low,Long-term,Retirement,485408,Low,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,947668
31,Teacher,Medium,Mid-term,Education,500000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,783705
64,Banker,High,Mid-term,Education,152825,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,405257
37,Consultant,Low,Short-term,Emergency Fund,441005,Low,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,698215
55,Freelancer,Medium,Mid-term,Education,500000,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,983293
20,Government Employee,Medium,Mid-term,Education,465564,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,704832
24,Government Employee,Medium,Mid-term,Education,500000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,738735
54,Self-Employed,High,Long-term,Wealth Building,453366,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,488318
62,Teacher,High,Long-term,Wealth Building,500000,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,1122503
31,Self-Employed,Medium,Mid-term,Education,500000,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,343549
40,Lawyer,Low,Mid-term,Marriage,500000,High,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,471349
61,Service Industry,Medium,Long-term,Retirement,500000,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,314208
63,Government Employee,High,Mid-term,Education,500000,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,878773
21,IT Professional,Low,Long-term,Wealth Building,500000,Medium,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,860101
50,Business Owner,Low,Long-term,Wealth Building,162922,Low,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,1056252
32,Doctor,Medium,Long-term,Wealth Building,500000,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,960832
28,Banker,High,Long-term,Wealth Building,25385,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,636190
55,Student,Medium,Mid-term,Education,80000,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,90276
48,Artist,High,Mid-term,Education,500000,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,781473
39,Retail Worker,High,Short-term,Emergency Fund,427509,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,553370
57,Service Industry,High,Long-term,Retirement,500000,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,479058
39,Engineer,High,Long-term,Wealth Building,252505,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,1280854
22,Artist,Medium,Mid-term,Education,500000,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,427240
62,Service Industry,Medium,Long-term,Retirement,302428,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,592676
31,Service Industry,Low,Short-term,Emergency Fund,500000,Medium,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,1016160
36,Business Owner,Medium,Long-term,Wealth Building,456505,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,794063
34,Self-Employed,Medium,Mid-term,Marriage,500000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,978947
21,Doctor,Medium,Long-term,Wealth Building,456789,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,1014427
19,IT Professional,High,Mid-term,Marriage,500000,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,1035131
31,Doctor,High,Long-term,Wealth Building,500000,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,1229793
40,Service Industry,Medium,Mid-term,Education,500000,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,974855
24,Freelancer,Low,Long-term,Retirement,154561,Low,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,1225552
51,Teacher,Low,Short-term,Emergency Fund,497752,High,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,1166813
55,Student,High,Mid-term,Marriage,80000,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,95296
59,Service Industry,Medium,Long-term,Retirement,500000,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,505468
24,IT Professional,High,Mid-term,Education,500000,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,767758
18,Government Employee,Medium,Short-term,Emergency Fund,463961,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,313188
25,Government Employee,Medium,Long-term,Retirement,500000,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,542305
41,Banker,High,Short-term,Emergency Fund,500000,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,450117
24,Lawyer,High,Long-term,Wealth Building,367754,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,1274389
53,Banker,Low,Long-term,Retirement,500000,Medium,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,646125
36,IT Professional,Medium,Mid-term,Education,359057,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,1155344
44,Business Owner,Low,Mid-term,Education,86190,Low,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,1101674
61,Engineer,Low,Mid-term,Marriage,80601,Low,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,1195871
20,Student,Medium,Long-term,Wealth Building,80000,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,85823
45,Artist,High,Long-term,Retirement,282634,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,435784
31,Lawyer,Low,Short-term,Emergency Fund,500000,Medium,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,792483
46,Self-Employed,High,Short-term,Emergency Fund,158787,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,499276
18,Business Owner,Medium,Mid-term,Education,500000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,556381
29,Doctor,Medium,Long-term,Retirement,500000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,1261412
64,Retail Worker,Medium,Long-term,Retirement,500000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,791434
57,Service Industry,High,Mid-term,Marriage,500000,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,351540
56,Consultant,High,Short-term,Emergency Fund,312713,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,506649
63,Government Employee,Medium,Long-term,Retirement,142650,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,569274
53,Artist,Low,Long-term,Retirement,291540,High,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,880533
18,Government Employee,Medium,Mid-term,Education,3936,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,827455
28,IT Professional,High,Mid-term,Marriage,500000,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,1081374
33,Service Industry,Low,Long-term,Retirement,149334,High,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,1106641
27,Artist,Medium,Mid-term,Marriage,77397,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,450400
43,Banker,High,Short-term,Emergency Fund,52074,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,1129393
60,Banker,Medium,Mid-term,Marriage,31924,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,766600
40,Banker,High,Mid-term,Marriage,500000,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,960981
58,Lawyer,Low,Mid-term,Marriage,500000,High,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,932052
60,Retail Worker,Medium,Long-term,Wealth Building,482614,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,1297282
35,Business Owner,Medium,Long-term,Wealth Building,3861,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,668142
38,Retail Worker,Medium,Long-term,Retirement,500000,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,577855
